"categoryQuestion_or","answer"
"‘ପ୍ରଦାନକାରୀଙ୍କ ଦ୍ଵାରା ଯଥାର୍ଥ ଯାଞ୍ଚ’ ଦ୍ୱାରା କ’ଣ ବୁଝାଯାଏ? PPI ପ୍ରଦାନକାରୀ କିପରି ନିଶ୍ଚିତ କରିବେ ଯେ ଏହା ହେଉଛି ‘PPI ଧାରକଙ୍କ ନିଜସ୍ୱ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ’?","[""<p>ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ PPI ଧାରକ ସହିତ ଜଡିତ ଅଛି ଯାଞ୍ଚ ପାଇଁ PPI / ୱାଲେଟ୍ ପ୍ରଦାନକାରୀ ଦାୟୀ, ଯାହା ପାଇଁ ଏହା ଉପଯୁକ୍ତ ଯାଞ୍ଚ ପଦ୍ଧତି ପ୍ରସ୍ତୁତ କରିପାରେ | ଅଧିକ ଜାଣିବା ପାଇଁ ଆପଣଙ୍କର PPI ପ୍ରଦାନକାରୀଙ୍କ ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |</p>""]"
"ଶାରୀରିକ ସୁନା ଅପେକ୍ଷା ମୁଁ କାହିଁକି SGB କିଣିବା ଉଚିତ୍? ଏହାର ଲାଭ କ’ଣ?","[""<p>ସୁନା ପରିମାଣ ଯାହା ପାଇଁ ନିବେଶକ ପ୍ରଦାନ କରନ୍ତି ତାହା ସୁରକ୍ଷିତ, ଯେହେତୁ ସେ ମୁକ୍ତି / ଅକାଳ ମୁକ୍ତି ସମୟରେ ଚାଲୁଥିବା ବଜାର ମୂଲ୍ୟ ଗ୍ରହଣ କରନ୍ତି | ଶାରୀରିକ ରୂପରେ ସୁନା ଧରିବା ପାଇଁ SGB ଏକ ଉନ୍ନତ ବିକଳ୍ପ ପ୍ରଦାନ କରେ | ସଂରକ୍ଷଣର ବିପଦ ଏବଂ ଖର୍ଚ୍ଚ ଦୂର ହୁଏ | ପରିପକ୍ୱତା ଏବଂ ସାମୟିକ ସୁଧ ସମୟରେ ନିବେଶକମାନେ ସୁନାର ବଜାର ମୂଲ୍ୟ ବିଷୟରେ ନିଶ୍ଚିତ ହୁଅନ୍ତି | ଅଳଙ୍କାର ଆକାରରେ ସୁନା ମାମଲାରେ ଚାର୍ଜ ଏବଂ ଶୁଦ୍ଧତା ଭଳି ପ୍ରସଙ୍ଗରୁ SGB ମୁକ୍ତ ଅଟେ | ବଣ୍ଡଗୁଡିକ ଆରବିଆଇର ପୁସ୍ତକଗୁଡ଼ିକରେ କିମ୍ବା ସ୍କ୍ରିପ୍ଟ ନଷ୍ଟ ହେବାର ଆଶଙ୍କା ଦୂର କରି ଡିମାଟ ଫର୍ମରେ ରଖାଯାଇଥାଏ |</p>""]"
"SGB ରେ ବିନିଯୋଗ କରିବାକୁ କିଏ ଯୋଗ୍ୟ?","[""<p>ବିଦେଶିକ ବିନିମୟ ପରିଚାଳନା ଆଇନ, 1999 ଅନୁଯାୟୀ ଭାରତରେ ରହୁଥିବା ବ୍ୟକ୍ତିମାନେ SGB ରେ ବିନିଯୋଗ କରିବାକୁ ଯୋଗ୍ୟ ଅଟନ୍ତି | ଯୋଗ୍ୟ ନିବେଶକମାନେ ବ୍ୟକ୍ତି, HUF, ଟ୍ରଷ୍ଟ, ବିଶ୍ୱବିଦ୍ୟାଳୟ, ଦାନକାରୀ ଅନୁଷ୍ଠାନ ଇତ୍ୟାଦି ଅନ୍ତର୍ଭୁକ୍ତ କରନ୍ତି |</p>""]"
"କାର୍ଡ ପ୍ରେଜେଣ୍ଟ (ସିପି) ଏବଂ କାର୍ଡ ନୋ ପ୍ରେଜେଣ୍ଟ (CNP) କାରବାର କ’ଣ?","[""<p>ସିପି ଟ୍ରାନଜାକସନ ଏକ କାର୍ଡ ଟ୍ରାନଜାକସନ ଯାହା ଟ୍ରାନଜାକସନ ପଏଣ୍ଟରେ କାର୍ଡର ଭୌତିକ ଉପସ୍ଥିତି ମାଧ୍ୟମରେ କରାୟାଇଥାଏ। ଏହାକୁ ଫେସ୍-ଟୁ-ଫେସ୍ ବା ନିକଟତର ପେମେଣ୍ଟ୍ କାରବାର ବୋଲି ମଧ୍ୟ କୁହାୟାଏ। ଏହାର ଏକ ଉଦାହରଣ ହେଉଛି ଏଟିଏମ୍ କିମ୍ବା PoS ଟର୍ମିନାଲରେ କରାୟାଉଥିବା କାରବାର। ସିଏନପି ଟ୍ରାଞ୍ଜାକସନ ପାଇଁ କାର୍ଡକୁ ଟ୍ରାଞ୍ଜାକସନ ପଏଣ୍ଟରେ ଫିଜିକାଲ ଭାବେ ଉପସ୍ଥାପନ କରିବାକୁ ପଡିବ ନାହିଁ। ଏହାକୁ ରିମୋଟ ଟ୍ରାଞ୍ଜାକ୍ସନ ମଧ୍ୟ କୁହାୟାଏ। ଏହାର ଏକ ଉଦାହରଣ ହେଉଛି ଅନ୍ଲାଇନ୍ ନେଣଦେଣ ବା କାର୍ଡ ବ୍ୟବହାର କରି ମୋବାଇଲ୍ ବ୍ୟାଙ୍କିଙ୍ଗ୍ ନେଣଦେଣ।</p>""]"
"ମୁଁ ମୋର ପ୍ରତ୍ୟେକ ପରିବାର ସଦସ୍ୟଙ୍କ ନାମରେ 500 ଗ୍ରାମ କିଣି ପାରିବି କି?","[""<p>ହଁ, ପ୍ରତ୍ୟେକ ପରିବାର ସଦସ୍ୟ ଯଦି ଯୋଗ୍ୟତା ମାନଦଣ୍ଡ ପୂରଣ କରନ୍ତି ତେବେ ବନ୍ଧନ ଧରିପାରିବେ |</p>""]"
"ମୋ ବ୍ୟାଙ୍କ ମାଧ୍ୟମରେ ଆବେଦନ କରିବା ମୋ ପାଇଁ ଆବଶ୍ୟକ କି?","[""<p>ଯେଉଁ ବ୍ୟାଙ୍କରେ ତାଙ୍କର ଆକାଉଣ୍ଟ ଅଛି, ସେହି ବ୍ୟାଙ୍କ ମାଧ୍ୟମରେ ଆବେଦନ କରିବା ଜରୁରୀ ନୁହେଁ | ଜଣେ ଗ୍ରାହକ ଅନ୍ୟ ବ୍ୟାଙ୍କ କିମ୍ବା ଡାକଘର ମାଧ୍ୟମରେ ଆବେଦନ କରିପାରିବେ।</p>""]"
"ମୁକ୍ତି ସମୟରେ କେଉଁ ପ୍ରକ୍ରିୟା ଅନ୍ତର୍ଭୁକ୍ତ?","[""<p>ନିବେଶକଙ୍କୁ ବଣ୍ଡର ପରବର୍ତ୍ତି ପରବର୍ତ୍ତି ପରିପକ୍ୱତାର ଏକ ମାସ ପୂର୍ବରୁ ପରାମର୍ଶ ଦିଆୟିବ। ଯେଉଁ ତାରିଖରେ ମେଚ୍ୟୁରିଟି ହେବ ସେହି ତାରିଖରେ ରେକର୍ଡରେ ଥିବା ତଥ୍ୟ ଅନୁସାରେ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟରେ ଜମା ହେବ। ଯଦି ଆକାଉଣ୍ଟ ନମ୍ବର, ଇମେଲ ଆଇଡି ଭଳି କୌଣସି ତଥ୍ୟରେ ପରିବର୍ତ୍ତନ ହୋଇଥାଏ, ତେବେ ନିବେଶକ ତୁରନ୍ତ ବ୍ୟାଙ୍କ/ପିଓଙ୍କୁ ସୂଚନା ଦେବା ଆବଶ୍ୟକ।</p>""]"
"ଯଦି ମୁଁ ମୋର ବିନିଯୋଗରୁ ବିଦାୟ ନେବାକୁ ଚାହୁଁଛି ତେବେ ମୋତେ କ’ଣ କରିବାକୁ ହେବ?","[""<p>ଅକାଳ ମୁକ୍ତି କ୍ଷେତ୍ରରେ, ନିବେଶକମାନେ କୁପନ୍ ଦେୟ ତାରିଖର ତିରିଶ ଦିନ ପୂର୍ବରୁ ସଂପୃକ୍ତ ବ୍ୟାଙ୍କ / ଡାକଘର / ଏଜେଣ୍ଟ ନିକଟକୁ ଯାଇପାରିବେ | ଅକାଳ ମୁକ୍ତି ପାଇଁ ଅନୁରୋଧ କେବଳ ଚିତ୍ତାକର୍ଷକ ହୋଇପାରିବ ଯଦି କୁପନ୍ ଦେୟ ତାରିଖର ଅତି କମରେ ଗୋଟିଏ ଦିନ ପୂର୍ବରୁ ନିବେଶକ ସଂପୃକ୍ତ ବ୍ୟାଙ୍କ / ଡାକଘର ନିକଟକୁ ଆସନ୍ତି | ଏହି ଅର୍ଥ ବଣ୍ଡ ପାଇଁ ଆବେଦନ କରିବା ସମୟରେ ପ୍ରଦାନ କରାଯାଇଥିବା ଗ୍ରାହକଙ୍କ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ଦିଆଯିବ |</p>""]"
"ମୁଁ ଏହି ସିକ୍ୟୁରିଟିଗୁଡ଼ିକୁ ଋଣ ପାଇଁ ବନ୍ଧକ ଭାବରେ ବ୍ୟବହାର କରିପାରିବି କି?","[""<p>ହଁ, ଏହି ସିକ୍ୟୁରିଟିଗୁଡିକ ବ୍ୟାଙ୍କ, ଆର୍ଥିକ ପ୍ରତିଷ୍ଠାନ ଏବଂ ଅଣ ବ୍ୟାଙ୍କିଙ୍ଗ ଆର୍ଥିକ କମ୍ପାନୀ (NBFC) ରୁ ଋଣ ପାଇଁ ବନ୍ଧକ ଭାବରେ ବ୍ୟବହାର କରିବାକୁ ଯୋଗ୍ୟ ଅଟନ୍ତି | ଋଣ ଣରୁ ମୂଲ୍ୟ ଅନୁପାତ ସମୟକ୍ରମେ ଆରବିଆଇ ଦ୍ୱାରା ବାଧ୍ୟତାମୂଳକ ସାଧାରଣ ସୁନା ଋଣ ପାଇଁ ପ୍ରଯୁଜ୍ୟ ହେବ |</p>""]"
"ଆପଣ UPI ରେ ଆପଣଙ୍କର ଫେରସ୍ତ ଫେରସ୍ତ କେଉଁଠାରେ ଯାଞ୍ଚ କରିବେ?","[""<p>ତୁମେ ଦେୟ ଦେବା ଦିନଠାରୁ 3 ରୁ 5 ଦିନ ମଧ୍ୟରେ ତୁମର ବ୍ୟାଙ୍କ ସ୍ୱୟଂଚାଳିତ ଭାବରେ ତୁମର ଆକାଉଣ୍ଟକୁ ଟଙ୍କା ଫେରସ୍ତ କରିବ | ଏକ ନିଶ୍ଚିତକରଣ ପାଇଁ ଆପଣ 5 ଦିନ ପରେ ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ଷ୍ଟେଟମେଣ୍ଟ ଯାଞ୍ଚ କରିପାରିବେ | ଟିପ୍ପଣୀ କେତେକ କ୍ଷେତ୍ରରେ, ଆପଣଙ୍କର ବ୍ୟାଙ୍କ କଟାଯାଇଥିବା ରାଶି ତୁରନ୍ତ ଫେରସ୍ତ କରିପାରେ |</p>""]"
"ପେଟିଏମ୍ ରେ କିପରି ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ୍ ଯୋଡାଯାଏ?","[""<p>ଯେତେବେଳେ ଆପଣ ପ୍ରଥମ ଥର ପାଇଁ ପେଟିଏମ୍ ରେ ଆପଣଙ୍କର ଆକାଉଣ୍ଟ୍ ସୃଷ୍ଟି କରନ୍ତି, ସେତେବେଳେ ଆପଣ ଆପଣଙ୍କର ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ଲିଙ୍କ୍ କରିବାର ବିକଳ୍ପ ପାଇବେ | ଆପଣ ଏହାକୁ ଠିକ୍ ସମୟରେ ଲିଙ୍କ୍ କରିପାରିବେ କିମ୍ବା ଅନ୍ୟାନ୍ୟ ବିବରଣୀ ପୁରଣ କରିବା ପରେ ଏହାକୁ କରିବାକୁ ବାଛିପାରିବେ ଯେତେବେଳେ ଆପଣ u2018 ଲିଙ୍କ୍ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ୍ ବିକଳ୍ପ ବାଛିବେ, ପେଟିଏମ୍ ଆପଣଙ୍କୁ ଏକ ନୂତନ ପୃଷ୍ଠାକୁ ନିର୍ଦ୍ଦେଶ ଦେବ | ଏଠାରେ, ଆପଣ ଦେଶର ଏକାଧିକ ବ୍ୟାଙ୍କରୁ ଯେକୌଣସି ଗୋଟିଏ ବାଛିପାରିବେ | ଆପଣ ହୁଏତ ଆପଣଙ୍କର ନିର୍ଦ୍ଦିଷ୍ଟ ବ୍ୟାଙ୍କ ପାଇଁ ସନ୍ଧାନ କରିପାରିବେ ଯେଉଁଥିରେ ଆପଣଙ୍କର ଏକ ଆକାଉଣ୍ଟ୍ ଅଛି କିମ୍ବା Paytm କୁ ସ୍ୱୟଂଚାଳିତ ଭାବରେ ଖୋଜିବାକୁ ଦିଅନ୍ତୁ | ଏହା ଚିହ୍ନଟ କରେ ଯଦି ଆପଣଙ୍କର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ବ୍ୟାଙ୍କ ସହିତ ଏକ ଆକାଉଣ୍ଟ୍ ଅଛି, ଆପଣଙ୍କ ପେଟିଏମ୍ ଆକାଉଣ୍ଟ୍ ସହିତ ସମାନ ନମ୍ବର ସହିତ ଲିଙ୍କ୍ ହୋଇଛି, ଆପଣଙ୍କ ନମ୍ବର ସହିତ ଲିଙ୍କ୍ ହୋଇଥିବା ଆପଣଙ୍କର ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ଅଣାଯିବ ଏବଂ ସ୍କ୍ରିନରେ ପପ୍ ହୋଇଯିବ |</p>""]"
"ଉତ୍ସ (TDS) ରେ ଟିକସ କଟାଯାଇଥାଏ କି ବଣ୍ଡ ଉପରେ ପ୍ରଯୁଜ୍ୟ?","[""<p>ବଣ୍ଡ ଉପରେ TDS ପ୍ରଯୁଜ୍ୟ ନୁହେଁ | ତେବେ ଟିକସ ନିୟମ ମାନିବା ବଣ୍ଡ ଧାରକଙ୍କ ଦାୟିତ୍। ଅଟେ।</p>""]"
"ବଣ୍ଡ ପ୍ରଦାନ ପରେ ନିବେଶକଙ୍କୁ ଅନ୍ୟ ଗ୍ରାହକ ସେବା କିଏ ପ୍ରଦାନ କରିବ?","[""<p>ପ୍ରଦାନକାରୀ ବ୍ୟାଙ୍କ / ପୋଷ୍ଟ ଅଫିସ୍ / ଏଜେଣ୍ଟ ଯାହା ମାଧ୍ୟମରେ ଏହି ସିକ୍ୟୁରିଟି କ୍ରୟ କରାଯାଇଛି ଅନ୍ୟ ଗ୍ରାହକ ସେବା ଯେପରିକି ଠିକଣା ପରିବର୍ତ୍ତନ, ଶୀଘ୍ର ମୁକ୍ତି, ନାମାଙ୍କନ ଇତ୍ୟାଦି ପ୍ରଦାନ କରିବ |</p>""]"
"ମିଳିତ ହୋଲ୍ଡିଂ କ୍ଷେତ୍ରରେ ସର୍ବାଧିକ 500 ଗ୍ରାମର ସୀମା ପ୍ରଯୁଜ୍ୟ କି?","[""<p>ନିର୍ଦ୍ଦିଷ୍ଟ ଆବେଦନ ପାଇଁ ମିଳିତ ହୋଲ୍ଡିଂ କ୍ଷେତ୍ରରେ ପ୍ରଥମ ଆବେଦନକାରୀଙ୍କ ପାଇଁ ସର୍ବାଧିକ ସୀମା ପ୍ରଯୁଜ୍ୟ ହେବ |</p>""]"
"ମୁଁ ବଣ୍ଡକୁ ଡେମାଟ୍ ଫର୍ମରେ ପାଇ ପାରିବି କି?","[""<p>ବଣ୍ଡଗୁଡିକ ଡେମାଟ୍ ଆକାଉଣ୍ଟରେ ରଖାଯାଇପାରିବ |</p>""]"
"ଏକ UPI-PIN କ’ଣ?","[""<p>UPI PIN (UPI ବ୍ୟକ୍ତିଗତ ପରିଚୟ ସଂଖ୍ୟା) ହେଉଛି ଏକ 4-6 ଅଙ୍କ ବିଶିଷ୍ଟ ପାସକୋଡ୍ ଯାହା ଆପଣ ପ୍ରଥମ ଥର ପାଇଁ ଏକ UPI ସକ୍ଷମ ଆପ୍ ସହିତ ପଞ୍ଜିକରଣରେ ସୃଷ୍ଟି କରିଛନ୍ତି | ଯେକୌଣସି UPI ସକ୍ଷମ ଆପରେ କାରବାରର ପ୍ରାଧିକରଣ ପାଇଁ ଏହି PIN ଆବଶ୍ୟକ | ଏକ UPI PIN କେବେବି କାହା ସହିତ ଅଂଶୀଦାର କିମ୍ବା ପ୍ରକାଶିତ ହେବା ଉଚିତ୍ ନୁହେଁ ଏବଂ ସର୍ବଦା କେବଳ ନିଜ ଫୋନରେ ଏବଂ BHIM UPI ସକ୍ଷମ ଆପର UPI PIN ପୃଷ୍ଠାରେ ପ୍ରବେଶ କରିବା ଉଚିତ୍ | & nbsp;</p>""]"
"ମୁଁ ଏହି ବଣ୍ଡଗୁଡ଼ିକୁ ବାଣିଜ୍ୟ କରିପାରିବି କି?","[""<p>ଆରବିଆଇ ଦ୍ୱାରା ସୂଚିତ ହେବା ଦିନଠାରୁ ଷ୍ଟକ୍ ଏକ୍ସଚେଞ୍ଜରେ ଏହି ବଣ୍ଡଗୁଡିକ ବାଣିଜ୍ୟଯୋଗ୍ୟ | ସରକାରୀ ସିକ୍ୟୁରିଟି ଆକ୍ଟର ବ୍ୟବସ୍ଥା ଅନୁଯାୟୀ ବଣ୍ଡଗୁଡିକ ବିକ୍ରୟ ଏବଂ ସ୍ଥାନାନ୍ତର କରାଯାଇପାରିବ |</p>""]"
"ଏକ କ୍ରେଡିଟ୍ ସ୍କୋର କିପରି କାମ କରେ?","[""<p>ଜଣେ ବ୍ୟକ୍ତିର କ୍ରେଡିଟ୍ ସ୍କୋର ସାଧାରଣତଃ 300 300-900 ମଧ୍ୟରେ ତିନି ଅଙ୍କ ବିଶିଷ୍ଟ ସଂଖ୍ୟା ଭାବରେ ପ୍ରକାଶ କରାଯାଇଥାଏ (900 ସର୍ବାଧିକ ସ୍କୋର ହୋଇପାରେ) ସେମାନଙ୍କର ପରିଶୋଧର ବ୍ୟକ୍ତିଗତ ଇତିହାସ, କ୍ରେଡିଟ୍ ଫାଇଲ୍, ଋଣ ଇତିହାସ ଏବଂ ଅଧିକ ଉପରେ ଆଧାର କରି | <br> ବ୍ୟାଙ୍କ ଏବଂ ଯେତେବେଳେ ତୁମର ଋଣ ବିପଦ ନିର୍ଣ୍ଣୟ କରିବାକୁ ଋଣ ପାଇଁ ଆବେଦନ କର, ଅନ୍ୟ ଋଣ ପ୍ରଦାନକାରୀ ସଂସ୍ଥା ଏହି ସଂଖ୍ୟା ଯାଞ୍ଚ କରିବେ | ଏହା ସମ୍ଭାବନାକୁ ସୂଚାଇଥାଏ ଯେ ତୁମେ ତୁମର ବିଲ୍ ଠିକ୍ ସମୟରେ ଦେବେ ଏବଂ ତୁମେ ଋଣ ପାଇଁ ଅନୁମୋଦିତ ହେବ କି ନାହିଁ ତାହା ସ୍ଥିର କରିପାରିବ |</p>""]"
"ପୁଟ୍ ଅପ୍ସନ୍ କରିବା ସମୟରେ ମୁଁ ଏହି ବଣ୍ଡଗୁଡିକର ଅଂଶ ପରିଶୋଧ ପାଇ ପାରିବି କି?","[""<p>ହଁ, ପାର୍ଟ ହୋଲ୍ଡିଂଗୁଡିକ ଏକ ଗ୍ରାମର ଗୁଣରେ ମୁକ୍ତ କରାଯାଇପାରିବ |</p>""]"
"ଜଣେ ବ୍ୟାଙ୍କ୍ ଓମ୍ବିଡସନ୍ କିଏ? (ଗ୍ରାହକ ହେଲ୍ପଲାଇନ। gov.in)","[""<p>ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଓମ୍ଫେଡ୍ସମ୍ୟାନ ଜଣେ ବରିଷ୍ଠ ଅଧିକାରୀ ଯିଏକି ବ୍ୟାଙ୍କିଙ୍ଗ୍ ଓମ୍ଫେଡ୍ସମ୍ୟାନ୍ ସ୍କିମ୍ 2006 ର ଧାରା 8 ଅନୁଯାୟୀ ନିର୍ଦ୍ଦିଷ୍ଟ ଅଭିଯୋଗ ଆଧାରରେ ଗ୍ରାହକଙ୍କ ଅଭିଯୋଗର ସମାଧାନ ପାଇଁ ରିଜର୍ଭ ବ୍ୟାଙ୍କ ଅଫ୍ ଇଣ୍ଡିଆ ଦ୍ୱାରା ନିଯୁକ୍ତ ଜଣେ ବରିଷ୍ଠ ଅଧିକାରୀ (ଜୁଲାଇ 1, 2017 ପର୍ଯ୍ୟନ୍ତ ସଂଶୋଧିତ) |</p>""]"
"ମୁଁ ଏକ ଅଭିଯୋଗ ଉଠାଇଛି କିନ୍ତୁ ରାଶି ଏପର୍ଯ୍ୟନ୍ତ ଓଲଟା ହୋଇନାହିଁ କିମ୍ବା ଅଭିଯୋଗର ସମାଧାନ ହୋଇନାହିଁ |","[""<p>ଆପଣ ଦୟାକରି ଆପଣଙ୍କ ବ୍ୟାଙ୍କ/ସଂସ୍ଥାରେ ଅଭିୟୋଗର ସ୍ଥିତି ଯାଞ୍ଚ କରିପାରିବେ। ଯଦି ଆପଣ ପ୍ରତିକ୍ରିୟା କିମ୍ବା ସମାଧାନରେ ସନ୍ତୁଷ୍ଟ ନୁହଁନ୍ତି, ତେବେ ଆପଣ ବ୍ୟାଙ୍କ / ଅନୁଷ୍ଠାନ ସହିତ ପୁଣି ଅଭିୟୋଗକୁ ବୃଦ୍ଧି ଭାବରେ ଉଠାଇପାରିବେ। ଆପଣଙ୍କ ବ୍ୟାଙ୍କ/ସଂସ୍ଥାର ନାମ ମୋତେ ଜଣାନ୍ତୁ</p>""]"
"ମାନକ ସମାଧାନ ଚକ୍ର କ’ଣ କିମ୍ବା ମୁଁ ମୋର ଦେୟ କେବେ ଗ୍ରହଣ କରିବି?","[""<p>UPI ଇକୋସିଷ୍ଟମ୍ ପ୍ରାପ୍ତକର୍ତ୍ତାଙ୍କ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ତୁରନ୍ତ ଟଙ୍କା ସ୍ଥାନାନ୍ତର ପ୍ରଦାନ କରେ | ଗ୍ରାହକ ଦେୟ ନିଶ୍ଚିତ କରିବା ପରେ ବ୍ୟବସାୟୀ ତୁରନ୍ତ ଟଙ୍କା ଗ୍ରହଣ କରିପାରିବେ, ଯାହା ସମାଧାନ ପ୍ରଦାନକାରୀ / ବ୍ୟାଙ୍କ ସହିତ ବ୍ୟବସାୟୀଙ୍କ ଚୁକ୍ତି ଅନୁଯାୟୀ ଭିନ୍ନ ହୋଇପାରେ |</p>""]"
"NETC FASTag କିପରି ରିଚାର୍ଜ କରିବେ?","[""<p>ତୁମର NETC FASTag ରିଚାର୍ଜ କରିବାକୁ ଆପଣ UPI ଆପ୍ ବ୍ୟବହାର କରିପାରିବେ | ତୁମକୁ କେବଳ FASTag VPA ଯୋଡିବାକୁ ପଡିବ ଏବଂ ପେ ଉପରେ କ୍ଲିକ୍ କର ଏବଂ FASTag ର ରିଚାର୍ଜ ପାଇଁ ତୁମର UPI ପିନ୍ ପ୍ରବେଶ କର | ଅତିରିକ୍ତ ଭାବରେ, ଉପଭୋକ୍ତା ଆକାଉଣ୍ଟକୁ ଲଗ୍ଇନ୍ କରିପାରିବେ ଏବଂ ଡେବିଟ୍ କିମ୍ବା କ୍ରେଡିଟ୍ କାର୍ଡ ବ୍ୟବହାର କରି କିମ୍ବା ୱାଲେଟ୍ କିମ୍ବା ନେଟ-ବ୍ୟାଙ୍କିଂ ମାଧ୍ୟମରେ ରିଚାର୍ଜ କରିପାରିବେ |</p>""]"
"ଟ୍ରାଇ ପାର୍ଟି ରେପୋ ଡିଲିଂ ସିଷ୍ଟମ୍ (TREPS) କ’ଣ?","[""<p>ଟିଆର୍ଇପିଏସ୍ ଡିଲିଂ ସିଷ୍ଟମ କ୍ଲିଅରକର୍ପ ଡିଲିଂ ସିଷ୍ଟମ (ଇଣ୍ଡିଆ) ଲିମିଟେଡ୍ ଦ୍ୱାରା ପ୍ରଦାନ କରାୟାଇଥିବା ଏକ ବେନାମୀ ପ୍ଲାଟଫର୍ମ। , ସିସିଆଇଏଲର ସମ୍ପୂର୍ଣ୍ଣ ମାଲିକାନାରେ ଥିବା ଏକ ସହାୟକ କମ୍ପାନୀ, ଏହାର ସଦସ୍ୟମାନଙ୍କୁ ତ୍ରି-ଦଳୀୟ ରିପୋ ମାଧ୍ୟମରେ ଅର୍ଥ ଧାର ଏବଂ ଋଣ ଦେବାକୁ ସକ୍ଷମ କରିବା ପାଇଁ। [br] [a href] 'https//<a href='www.ccilindia.com' target='_blank'>ccilindia.com</a>/FAQ/Pages/TREPS.aspx' ଲକ୍ଷ୍ୟ ['_blank'] [<a href='www.ccilindia.com' target='_blank'>ccilindia.com</a>] / a]</p>""]"
"ଗ୍ରାହକଙ୍କ ପାଇଁ ICD କାରବାର ପାଇଁ ଦେୟ କ’ଣ?","[""<p>ICD କାରବାର ପାଇଁ ଦେୟ ଅଂଶଗ୍ରହଣକାରୀ ICD ସକ୍ଷମ ବ୍ୟାଙ୍କଗୁଡିକର ବିବେଚନା ଅନୁଯାୟୀ | ଆଇସିଡି କାରବାର ପାଇଁ ବ୍ୟାଙ୍କ ଦ୍ୱାରା ଆଦାୟ ହେଉଥିବା ଦେୟ ଜାଣିବା ପାଇଁ ଆପଣ ବ୍ୟାଙ୍କ ୱେବସାଇଟ୍ ପରିଦର୍ଶନ କରିପାରିବେ |</p>""]"
"କଳା ତାଲିକାଭୁକ୍ତ ଟ୍ୟାଗ୍ ର ଅର୍ଥ କ’ଣ? ଟ୍ୟାଗ୍ ର କଳା ତାଲିକାକୁ ଏଡାଇବା ପାଇଁ କ’ଣ କରାଯାଇପାରିବ?","[""<p>ଟୋଲ୍ ପ୍ଲାଜା ଗାଡ଼ିରେ ବ୍ଲାକ୍ଲିଷ୍ଟ୍ ସ୍ଥିତି ମୁଖ୍ୟତ the FASTag ଆକାଉଣ୍ଟ୍ / ୱାଲେଟରେ କମ୍ ସନ୍ତୁଳନ ହେତୁ ହୋଇଥାଏ | ଏହି ସମସ୍ୟାକୁ ଏଡ଼ାଇବା ପାଇଁ ଗ୍ରାହକମାନେ ଯଥେଷ୍ଟ ସନ୍ତୁଳନ ବଜାୟ ରଖିବା ଉଚିତ୍ | ଅତିରିକ୍ତ ଭାବରେ, କ rule ଣସି ନିୟମ ଉଲ୍ଲଂଘନ କିମ୍ବା ଅଭିଯୋଗ ପାଇଁ କାର୍ଯ୍ୟକାରୀ ସଂସ୍ଥାଗୁଡ଼ିକର ଅନୁରୋଧ କ୍ରମେ FASTag ମଧ୍ୟ କଳା ତାଲିକାଭୁକ୍ତ ହୋଇପାରେ |</p>""]"
"ଜଣେ ଗ୍ରାହକଙ୍କ ପାଖରେ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ରହିବା ଆବଶ୍ୟକ କି ସେମାନେ UPI କୁ କାର୍ଡ କିମ୍ବା ୱାଲେଟ ସହିତ ଲିଙ୍କ କରିପାରିବେ କି?","[""<p>ଆପଣ ଆପଣଙ୍କର ମୋବାଇଲ୍ ୱାଲେଟ୍କୁ UPI ସହିତ ଲିଙ୍କ୍ କରିପାରିବେ ନାହିଁ, କେବଳ ଏକ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ୍ UPI ସହିତ ଲିଙ୍କ୍ ହୋଇପାରିବ | ଆପଣ UPI ସହିତ ଏକରୁ ଅଧିକ ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟକୁ ଲିଙ୍କ୍ କରିପାରିବେ |</p>""]"
